id,datum_von,datum_bis,hoehe,lat,lon,name,bundesland,height_class
6338,20041021,20220502,605,50.3618,11.6223,"Steben, Bad",Bayern,Z3
7323,20060101,20220502,150,51.2359,12.5517,Belgershain,Sachsen,Z1
7326,20060101,20220502,134,51.1918,12.7645,Grimma-Kleinbothen,Sachsen,Z1
7328,20060101,20220502,219,50.8544,12.4216,Ponitz,Thüringen,Z2
7329,20051101,20220503,465,50.5467,12.2863,Treuen,Sachsen,Z3
7333,20060701,20220502,727,50.5803,13.2966,Marienberg-Ruebenau,Sachsen,Z3
7334,20060301,20220502,131,51.2651,13.3588,Hirschstein-Heyda,Sachsen,Z1
7335,20060201,20220502,138,51.3658,13.5801,Strauch,Sachsen,Z1
7343,20060401,20220502,689,50.62,13.4817,Deutschneudorf-Broederwi,Sachsen,Z3
7394,20060602,20220502,622,50.0315,11.9745,Wunsiedel-Schoenbrunn,Bayern,Z3
7419,20061201,20220503,389,50.661,12.0756,Langenwetzendorf-Goetten,Thüringen,Z2
